输入,字符串长度,分割结果,平均分割长度,最大分割长度,最大分割长度占比,单个字符数量占长度比,分割长度离散度,是否乱码
installationpackage,19,installation|package,9.50,12,0.63,0.00,2.50,false
systemconfiguration,19,system|configuration,9.50,13,0.68,0.00,3.50,false
databaseconnection,18,database|connection,9.00,10,0.56,0.00,1.00,false
administratorrole,17,administrator|role,8.50,13,0.76,0.00,4.50,false
informationcenter,17,information|center,8.50,11,0.65,0.00,2.50,false
applicationserver,17,application|server,8.50,11,0.65,0.00,2.50,false
developmenttools,16,development|tools,8.00,11,0.69,0.00,3.00,false
systemmonitoring,16,system|monitoring,8.00,10,0.62,0.00,2.00,false
guestpermission,15,guest|permission,7.50,10,0.67,0.00,2.50,false
filemanagementsystem,20,file|management|system,6.67,10,0.50,0.00,2.49,false
indexhomepage,13,index|homepage,6.50,8,0.62,0.00,1.50,false
logoutsession,13,logout|session,6.50,7,0.54,0.00,0.50,false
signuprequest,13,signup|request,6.50,7,0.54,0.00,0.50,false
rootprivilege,13,root|privilege,6.50,9,0.69,0.00,2.50,false
testenvironmentdemo,19,test|environment|demo,6.33,11,0.58,0.00,3.30,false
temporarydevbranch,18,temporary|dev|branch,6.00,9,0.50,0.00,2.45,false
loginprocess,12,login|process,6.00,7,0.58,0.00,1.00,false
htmltemplaterender,18,html|template|render,6.00,8,0.44,0.00,1.63,false
prince,6,prince,6.00,6,1.00,0.00,0.00,false
databackupservice,17,data|backup|service,5.67,7,0.41,0.00,1.25,false
webapplicationapi,17,web|application|api,5.67,11,0.65,0.00,3.77,false
apigatewayservice,17,api|gateway|service,5.67,7,0.41,0.00,1.89,false
updateversioninfo,17,update|version|info,5.67,7,0.41,0.00,1.25,false
logrecordhistory,16,log|record|history,5.33,7,0.44,0.00,1.70,false
aboutcompanyinfo,16,about|company|info,5.33,7,0.44,0.00,1.25,false
setupprocessflow,16,setup|process|flow,5.33,7,0.44,0.00,1.25,false
gifanimationfile,16,gif|animation|file,5.33,9,0.56,0.00,2.62,false
zebra,5,zebra,5.00,5,1.00,0.00,0.00,false
hotel,5,hotel,5.00,5,1.00,0.00,0.00,false
lemon,5,lemon,5.00,5,1.00,0.00,0.00,false
olive,5,olive,5.00,5,1.00,0.00,0.00,false
mango,5,mango,5.00,5,1.00,0.00,0.00,false
grape,5,grape,5.00,5,1.00,0.00,0.00,false
berry,5,berry,5.00,5,1.00,0.00,0.00,false
peach,5,peach,5.00,5,1.00,0.00,0.00,false
apple,5,apple,5.00,5,1.00,0.00,0.00,false
truck,5,truck,5.00,5,1.00,0.00,0.00,false
plane,5,plane,5.00,5,1.00,0.00,0.00,false
metro,5,metro,5.00,5,1.00,0.00,0.00,false
train,5,train,5.00,5,1.00,0.00,0.00,false
toast,5,toast,5.00,5,1.00,0.00,0.00,false
sushi,5,sushi,5.00,5,1.00,0.00,0.00,false
pasta,5,pasta,5.00,5,1.00,0.00,0.00,false
pizza,5,pizza,5.00,5,1.00,0.00,0.00,false
honey,5,honey,5.00,5,1.00,0.00,0.00,false
sugar,5,sugar,5.00,5,1.00,0.00,0.00,false
bread,5,bread,5.00,5,1.00,0.00,0.00,false
italy,5,italy,5.00,5,1.00,0.00,0.00,false
spain,5,spain,5.00,5,1.00,0.00,0.00,false
india,5,india,5.00,5,1.00,0.00,0.00,false
china,5,china,5.00,5,1.00,0.00,0.00,false
japan,5,japan,5.00,5,1.00,0.00,0.00,false
venus,5,venus,5.00,5,1.00,0.00,0.00,false
earth,5,earth,5.00,5,1.00,0.00,0.00,false
space,5,space,5.00,5,1.00,0.00,0.00,false
laser,5,laser,5.00,5,1.00,0.00,0.00,false
robot,5,robot,5.00,5,1.00,0.00,0.00,false
angel,5,angel,5.00,5,1.00,0.00,0.00,false
queen,5,queen,5.00,5,1.00,0.00,0.00,false
crown,5,crown,5.00,5,1.00,0.00,0.00,false
boots,5,boots,5.00,5,1.00,0.00,0.00,false
shoes,5,shoes,5.00,5,1.00,0.00,0.00,false
socks,5,socks,5.00,5,1.00,0.00,0.00,false
pants,5,pants,5.00,5,1.00,0.00,0.00,false
shirt,5,shirt,5.00,5,1.00,0.00,0.00,false
jeans,5,jeans,5.00,5,1.00,0.00,0.00,false
skirt,5,skirt,5.00,5,1.00,0.00,0.00,false
dress,5,dress,5.00,5,1.00,0.00,0.00,false
purse,5,purse,5.00,5,1.00,0.00,0.00,false
couch,5,couch,5.00,5,1.00,0.00,0.00,false
dance,5,dance,5.00,5,1.00,0.00,0.00,false
music,5,music,5.00,5,1.00,0.00,0.00,false
movie,5,movie,5.00,5,1.00,0.00,0.00,false
beach,5,beach,5.00,5,1.00,0.00,0.00,false
whale,5,whale,5.00,5,1.00,0.00,0.00,false
camel,5,camel,5.00,5,1.00,0.00,0.00,false
snake,5,snake,5.00,5,1.00,0.00,0.00,false
eagle,5,eagle,5.00,5,1.00,0.00,0.00,false
panda,5,panda,5.00,5,1.00,0.00,0.00,false
tiger,5,tiger,5.00,5,1.00,0.00,0.00,false
horse,5,horse,5.00,5,1.00,0.00,0.00,false
sheep,5,sheep,5.00,5,1.00,0.00,0.00,false
grape,5,grape,5.00,5,1.00,0.00,0.00,false
peach,5,peach,5.00,5,1.00,0.00,0.00,false
lemon,5,lemon,5.00,5,1.00,0.00,0.00,false
juice,5,juice,5.00,5,1.00,0.00,0.00,false
candy,5,candy,5.00,5,1.00,0.00,0.00,false
teeth,5,teeth,5.00,5,1.00,0.00,0.00,false
smile,5,smile,5.00,5,1.00,0.00,0.00,false
voice,5,voice,5.00,5,1.00,0.00,0.00,false
brain,5,brain,5.00,5,1.00,0.00,0.00,false
heart,5,heart,5.00,5,1.00,0.00,0.00,false
night,5,night,5.00,5,1.00,0.00,0.00,false
dream,5,dream,5.00,5,1.00,0.00,0.00,false
ocean,5,ocean,5.00,5,1.00,0.00,0.00,false
earth,5,earth,5.00,5,1.00,0.00,0.00,false
plant,5,plant,5.00,5,1.00,0.00,0.00,false
stone,5,stone,5.00,5,1.00,0.00,0.00,false
paper,5,paper,5.00,5,1.00,0.00,0.00,false
cable,5,cable,5.00,5,1.00,0.00,0.00,false
knife,5,knife,5.00,5,1.00,0.00,0.00,false
spoon,5,spoon,5.00,5,1.00,0.00,0.00,false
piano,5,piano,5.00,5,1.00,0.00,0.00,false
shirt,5,shirt,5.00,5,1.00,0.00,0.00,false
clock,5,clock,5.00,5,1.00,0.00,0.00,false
glass,5,glass,5.00,5,1.00,0.00,0.00,false
bread,5,bread,5.00,5,1.00,0.00,0.00,false
fruit,5,fruit,5.00,5,1.00,0.00,0.00,false
music,5,music,5.00,5,1.00,0.00,0.00,false
maincontentpage,15,main|content|page,5.00,7,0.47,0.00,1.41,false
homepageaboutus,15,homepage|about|us,5.00,8,0.53,0.00,2.45,false
plane,5,plane,5.00,5,1.00,0.00,0.00,false
pdfdocumentfile,15,pdf|document|file,5.00,8,0.53,0.00,2.16,false
train,5,train,5.00,5,1.00,0.00,0.00,false
house,5,house,5.00,5,1.00,0.00,0.00,false
river,5,river,5.00,5,1.00,0.00,0.00,false
plant,5,plant,5.00,5,1.00,0.00,0.00,false
cloud,5,cloud,5.00,5,1.00,0.00,0.00,false
light,5,light,5.00,5,1.00,0.00,0.00,false
phone,5,phone,5.00,5,1.00,0.00,0.00,false
water,5,water,5.00,5,1.00,0.00,0.00,false
mouse,5,mouse,5.00,5,1.00,0.00,0.00,false
chair,5,chair,5.00,5,1.00,0.00,0.00,false
table,5,table,5.00,5,1.00,0.00,0.00,false
apple,5,apple,5.00,5,1.00,0.00,0.00,false
demotempproject,15,demo|temp|project,5.00,7,0.47,0.00,1.41,false
salad,5,salad,5.00,5,1.00,0.00,0.00,false
truck,5,truck,5.00,5,1.00,0.00,0.00,false
phpscriptengine,15,php|script|engine,5.00,6,0.40,0.00,1.41,false
sqlquerybuilder,15,sql|query|builder,5.00,7,0.47,0.00,1.63,false
enduseraccount,14,end|user|account,4.67,7,0.50,0.00,1.70,false
plum,4,plum,4.00,4,1.00,0.00,0.00,false
king,4,king,4.00,4,1.00,0.00,0.00,false
pngimagefile,12,png|image|file,4.00,5,0.42,0.00,0.82,false
lime,4,lime,4.00,4,1.00,0.00,0.00,false
jpgphotofile,12,jpg|photo|file,4.00,5,0.42,0.00,0.82,false
signinaction,12,sign|in|action,4.00,6,0.50,0.00,1.63,false
soup,4,soup,4.00,4,1.00,0.00,0.00,false
ship,4,ship,4.00,4,1.00,0.00,0.00,false
administrator123456,19,administrator|1|2|3|4|5|6,2.71,13,0.68,0.32,4.20,false
testaccount2024,15,test|account|2|0|2|4,2.50,7,0.47,0.27,2.29,false
melon,5,me|lon,2.50,3,0.60,0.00,0.50,false
noodle,6,no|od|le,2.00,2,0.33,0.00,0.00,false
rootuser987654,14,root|user|9|8|7|6|5|4,1.75,4,0.29,0.43,1.30,false
demouser654321,14,demo|user|6|5|4|3|2|1,1.75,4,0.29,0.43,1.30,false

asdfgh,6,as|df|gh,2.00,2,0.33,0.00,0.00,true
ijkl56,6,ij|kl|5|6,1.50,2,0.33,0.33,0.50,true
mnop78,6,mn|op|7|8,1.50,2,0.33,0.33,0.50,true
abcd12,6,ab|cd|1|2,1.50,2,0.33,0.33,0.50,true
zxcvbn,6,z|x|cv|bn,1.50,2,0.33,0.33,0.50,true
efgh34,6,ef|gh|3|4,1.50,2,0.33,0.33,0.50,true
ab12cd,6,ab|1|2|cd,1.50,2,0.33,0.33,0.50,true
ij56kl,6,ij|5|6|kl,1.50,2,0.33,0.33,0.50,true
qwerty,6,q|w|er|ty,1.50,2,0.33,0.33,0.50,true
poiuyt,6,po|iu|y|t,1.50,2,0.33,0.33,0.50,true
3ds2dg,6,3|ds|2|dg,1.50,2,0.33,0.33,0.50,true
mn78op,6,mn|7|8|op,1.50,2,0.33,0.33,0.50,true
ef34gh,6,ef|3|4|gh,1.50,2,0.33,0.33,0.50,true
def$%^,6,def|$|%|^,1.50,3,0.50,0.50,0.87,true
abcDEF,6,abc|D|E|F,1.50,3,0.50,0.50,0.87,true
abc!@#,6,abc|!|@|#,1.50,3,0.50,0.50,0.87,true
bbb222,6,bbb|2|2|2,1.50,3,0.50,0.50,0.87,true
ccc333,6,ccc|3|3|3,1.50,3,0.50,0.50,0.87,true
456def,6,4|5|6|def,1.50,3,0.50,0.50,0.87,true
123abc,6,1|2|3|abc,1.50,3,0.50,0.50,0.87,true
aaa111,6,aaa|1|1|1,1.50,3,0.50,0.50,0.87,true
v3rc1,5,v|3|rc|1,1.25,2,0.40,0.60,0.43,true
487rh,5,4|8|7|rh,1.25,2,0.40,0.60,0.43,true
11aa22,6,1|1|aa|2|2,1.20,2,0.33,0.67,0.40,true
mnoMNO,6,m|no|M|N|O,1.20,2,0.33,0.67,0.40,true
34gh56,6,3|4|gh|5|6,1.20,2,0.33,0.67,0.40,true
56cd78,6,5|6|cd|7|8,1.20,2,0.33,0.67,0.40,true
12ab34,6,1|2|ab|3|4,1.20,2,0.33,0.67,0.40,true
ddd444,6,d|dd|4|4|4,1.20,2,0.33,0.67,0.40,true
78&*gh,6,7|8|&|*|gh,1.20,2,0.33,0.67,0.40,true
77dd88,6,7|7|dd|8|8,1.20,2,0.33,0.67,0.40,true
xyz012,6,xy|z|0|1|2,1.20,2,0.33,0.67,0.40,true
uvw789,6,u|vw|7|8|9,1.20,2,0.33,0.67,0.40,true
gh2d23,6,gh|2|d|2|3,1.20,2,0.33,0.67,0.40,true
pqrPQR,6,p|qr|P|Q|R,1.20,2,0.33,0.67,0.40,true
33bb44,6,3|3|bb|4|4,1.20,2,0.33,0.67,0.40,true
90ef12,6,9|0|ef|1|2,1.20,2,0.33,0.67,0.40,true
ghiJKL,6,g|hi|J|K|L,1.20,2,0.33,0.67,0.40,true
55cc66,6,5|5|cc|6|6,1.20,2,0.33,0.67,0.40,true
rst456,6,r|st|4|5|6,1.20,2,0.33,0.67,0.40,true
mnp123,6,m|np|1|2|3,1.20,2,0.33,0.67,0.40,true
321jkl,6,3|2|1|j|kl,1.20,2,0.33,0.67,0.40,true
789ghi,6,7|8|9|g|hi,1.20,2,0.33,0.67,0.40,true
ghi&*(,6,g|hi|&|*|(,1.20,2,0.33,0.67,0.40,true
jkl()_,6,j|kl|(|)|_,1.20,2,0.33,0.67,0.40,true
12!@ab,6,1|2|!|@|ab,1.20,2,0.33,0.67,0.40,true
34#$cd,6,3|4|#|$|cd,1.20,2,0.33,0.67,0.40,true
56%^ef,6,5|6|%|^|ef,1.20,2,0.33,0.67,0.40,true
D4e5F6,6,D|4|e|5|F|6,1.00,1,0.17,1.00,0.00,true
aAbBcC,6,a|A|b|B|c|C,1.00,1,0.17,1.00,0.00,true
dDeEfF,6,d|D|e|E|f|F,1.00,1,0.17,1.00,0.00,true
gGhHiI,6,g|G|h|H|i|I,1.00,1,0.17,1.00,0.00,true
jJkKlL,6,j|J|k|K|l|L,1.00,1,0.17,1.00,0.00,true
123ABC,6,1|2|3|A|B|C,1.00,1,0.17,1.00,0.00,true
456DEF,6,4|5|6|D|E|F,1.00,1,0.17,1.00,0.00,true
789GHI,6,7|8|9|G|H|I,1.00,1,0.17,1.00,0.00,true
()_012,6,(|)|_|0|1|2,1.00,1,0.17,1.00,0.00,true
&*789,5,&|*|7|8|9,1.00,1,0.20,1.00,0.00,true
x7k9p2,6,x|7|k|9|p|2,1.00,1,0.17,1.00,0.00,true
A1b2C3,6,A|1|b|2|C|3,1.00,1,0.17,1.00,0.00,true
$%^456,6,$|%|^|4|5|6,1.00,1,0.17,1.00,0.00,true
!@#123,6,!|@|#|1|2|3,1.00,1,0.17,1.00,0.00,true
0j1k2l,6,0|j|1|k|2|l,1.00,1,0.17,1.00,0.00,true
7g8h9i,6,7|g|8|h|9|i,1.00,1,0.17,1.00,0.00,true
4d5e6f,6,4|d|5|e|6|f,1.00,1,0.17,1.00,0.00,true
1a2b3c,6,1|a|2|b|3|c,1.00,1,0.17,1.00,0.00,true
m3n4o5p6,8,m|3|n|4|o|5|p|6,1.00,1,0.12,1.00,0.00,true
i9j0k1l2,8,i|9|j|0|k|1|l|2,1.00,1,0.12,1.00,0.00,true
e5f6g7h8,8,e|5|f|6|g|7|h|8,1.00,1,0.12,1.00,0.00,true
a1b2c3d4,8,a|1|b|2|c|3|d|4,1.00,1,0.12,1.00,0.00,true
G7h8I9,6,G|7|h|8|I|9,1.00,1,0.17,1.00,0.00,true
J0k1L2,6,J|0|k|1|L|2,1.00,1,0.17,1.00,0.00,true
!@#$%^,6,!|@|#|$|%|^,1.00,1,0.17,1.00,0.00,true
&*()_+,6,&|*|(|)|_|+,1.00,1,0.17,1.00,0.00,true
{}[]|\,6,{|}|[|]|||\,1.00,1,0.17,1.00,0.00,true
:<>?~/,6,:|<|>|?|~|/,1.00,1,0.17,1.00,0.00,true
a!1@b#,6,a|!|1|@|b|#,1.00,1,0.17,1.00,0.00,true
c$2%d^,6,c|$|2|%|d|^,1.00,1,0.17,1.00,0.00,true
e&3*f(,6,e|&|3|*|f|(,1.00,1,0.17,1.00,0.00,true
g)4_h+,6,g|)|4|_|h|+,1.00,1,0.17,1.00,0.00,true
123!@#,6,1|2|3|!|@|#,1.00,1,0.17,1.00,0.00,true
456$%^,6,4|5|6|$|%|^,1.00,1,0.17,1.00,0.00,true
789&*(,6,7|8|9|&|*|(,1.00,1,0.17,1.00,0.00,true
012)_+,6,0|1|2|)|_|+,1.00,1,0.17,1.00,0.00,true
012JKL,6,0|1|2|J|K|L,1.00,1,0.17,1.00,0.00,true
u6v2q4,6,u|6|v|2|q|4,1.00,1,0.17,1.00,0.00,true
s3n8x1,6,s|3|n|8|x|1,1.00,1,0.17,1.00,0.00,true
w7y4p6,6,w|7|y|4|p|6,1.00,1,0.17,1.00,0.00,true
r5t9m2,6,r|5|t|9|m|2,1.00,1,0.17,1.00,0.00,true
j0k1l2,6,j|0|k|1|l|2,1.00,1,0.17,1.00,0.00,true
g7h8i9,6,g|7|h|8|i|9,1.00,1,0.17,1.00,0.00,true
d4e5f6,6,d|4|e|5|f|6,1.00,1,0.17,1.00,0.00,true
a1b2c3,6,a|1|b|2|c|3,1.00,1,0.17,1.00,0.00,true
b2h5j8,6,b|2|h|5|j|8,1.00,1,0.17,1.00,0.00,true
t6w3q9,6,t|6|w|3|q|9,1.00,1,0.17,1.00,0.00,true
m4n8v5,6,m|4|n|8|v|5,1.00,1,0.17,1.00,0.00,true
